name;type;id;formulation;N;K;T_max;C;network_type;m_solution;solve_time;status;time_limit;objective;best_bound;best_int;mip_gap;Wp;gap;n_vars;n_cons;n_nodes;n_added_cuts;n_solutions;routes;timestamp;Z_TS;m;W_TS;CPU_sec;Z_CP;opt_gap;ts_vs_cp_gap;ts_vs_gh_gap
large_RC100_K6T200;large;77,0;mtz_opt;100,0;6,0;200,0;12,0;RC;75,0;3603,533;9,0;60,0;0,72;1,0;1,0;0,388888889;1182,111942;0,388888889;10403,0;10314,0;30550,0;0,0;10,0;Route of vehicle 1: ([0, 61, 93, 71, 96, 94, 62, 85, 84, 64, 90, 42, 44, 0], 199.4774664871144) // Route of vehicle 2: ([0, 66, 86, 20, 99, 53, 73, 78, 17, 15, 16, 47, 0], 194.00913513226513) // Route of vehicle 3: ([0, 68, 55, 70, 39, 40, 38, 72, 37, 36, 6, 45, 4, 46, 0], 199.67865013430634) // Route of vehicle 4: ([0, 83, 65, 88, 11, 2, 7, 79, 8, 5, 100, 0], 192.13252367047653) // Route of vehicle 5: ([0, 95, 91, 92, 80, 34, 32, 33, 30, 31, 29, 50, 67, 56, 52, 0], 198.7807799943305) // Route of vehicle 6: ([0, 98, 12, 10, 9, 59, 87, 58, 49, 48, 24, 19, 22, 18, 23, 21, 0], 198.0333863794365);2023-08-02_08-37-32;1,0;100,0;816,9;3609,0;0,55;83,3;83,5;6,5
large_RC100_K3T8;large;27,0;cutset;100,0;3,0;8,0;12,0;RC;0,0;3606,279;9,0;60,0;0,0;1,0;1,0;inf;0,0;inf;30907,0;1023,0;91258,0;1152,0;1,0;Route of vehicle 1: ([0, 0], 0.0) // Route of vehicle 2: ([0, 0], 0.0) // Route of vehicle 3: ([0, 0], 0.0);2023-08-02_10-37-43;0,96;97,0;22,9;2634,0;0,52;92,3;84,6;60,0
large_R100_K3T4;large;1,0;cutset;100,0;3,0;4,0;12,0;R;0,0;3600,526;9,0;60,0;0,0;0,757045701;0,757045701;inf;0,0;inf;30907,0;1023,0;210486,0;460,0;1,0;Route of vehicle 1: ([0, 0], 0.0) // Route of vehicle 2: ([0, 0], 0.0) // Route of vehicle 3: ([0, 0], 0.0);2023-08-02_11-43-59;0,571;59,0;11,8;1193,0;0,348;93,8;64,1;87,8
large_R25_K3T2;large;10,0;mtz_opt;25,0;3,0;2,0;12,0;R;8,0;3,787000179;2,0;60,0;0,166666667;0,166666667;0,166666667;0,0;5,617764754;0,0;728,0;714,0;8343,0;0,0;4,0;Route of vehicle 1: ([0, 1, 3, 12, 0], 1.8657368625929267) // Route of vehicle 2: ([0, 18, 7, 6, 0], 1.9202418772143048) // Route of vehicle 3: ([0, 22, 21, 0], 1.8317860137664157);2023-08-02_11-49-12;0,167;7,0;4,6;49,0;0,167;0,0;0,0;50,5
large_RC50_K3T3;large;37,0;mtz_opt;50,0;3,0;3,0;12,0;RC;13,0;3600,055;9,0;60,0;0,214285714;1,0;1,0;3,666666667;8,659426206;3,666666667;2703,0;2664,0;390030,0;0,0;10,0;Route of vehicle 1: ([0, 2, 6, 7, 50, 32, 0], 2.9286864599262485) // Route of vehicle 2: ([0, 20, 22, 24, 35, 0], 2.98921519668469) // Route of vehicle 3: ([0, 33, 49, 13, 40, 0], 2.741524549230712);2023-08-02_12-50-01;0,357;22,0;8,7;130,0;0,286;193,2;24,8;402,8
large_R50_K3T5;large;15,0;mtz;50,0;3,0;5,0;12,0;R;44,0;3600,201;9,0;60,0;0,833333381;0,981858258;0,981858258;0,178229843;14,65795136;0,178229843;8007,0;7873,0;283282,0;0,0;10,0;Route of vehicle 1: ([0, 27, 1, 31, 10, 32, 30, 20, 9, 35, 34, 29, 24, 12, 26, 28, 0], 4.978708657565107) // Route of vehicle 2: ([0, 40, 21, 4, 25, 39, 23, 22, 41, 15, 42, 14, 44, 16, 37, 13, 0], 4.8805201734350865) // Route of vehicle 3: ([0, 6, 5, 17, 45, 8, 46, 47, 36, 49, 11, 19, 48, 7, 18, 0], 4.7987225260904545);2023-08-02_13-50-43;0,833;44,0;14,8;466,0;0,722;32,7;15,4;66,6
large_RC25_K3T2;large;34,0;mtz;25,0;3,0;2,0;12,0;RC;;3600,08;9,0;60,0;0,166667724;0,75;0,75;3,499971;;3,499971;2132,0;2073,0;515071,0;0,0;5,0;;2023-08-02_15-55-43;0,167;7,0;4,8;48,0;0,167;181,5;0,0;8,4
large_RC100_K3T4;large;25,0;mtz_opt;100,0;3,0;4,0;12,0;RC;28,0;3600,202;9,0;60,0;0,238095238;1,0;1,0;3,2;11,98480168;3,2;10403,0;10314,0;34199,0;0,0;10,0;Route of vehicle 1: ([0, 67, 34, 31, 29, 26, 28, 95, 0], 3.9931667494754657) // Route of vehicle 2: ([0, 80, 42, 44, 43, 39, 40, 35, 36, 37, 38, 41, 90, 0], 3.9964670270148273) // Route of vehicle 3: ([0, 100, 2, 46, 4, 45, 61, 96, 94, 93, 0], 3.995167907347836);2023-08-02_16-58-54;0,444;47,0;11,8;648,0;0,242;198,6;83,5;83,5
large_R100_K3T4;large;1,0;mtz;100,0;3,0;4,0;12,0;R;49,0;3600,163;9,0;60,0;0,470588235;0,685821677;0,685821677;0,457371062;11,92458584;0,457371062;31007,0;30723,0;29996,0;0,0;10,0;Route of vehicle 1: ([0, 13, 100, 91, 16, 61, 5, 60, 83, 18, 7, 88, 62, 10, 70, 69, 27, 0], 3.941781170380548) // Route of vehicle 2: ([0, 89, 6, 94, 96, 99, 59, 97, 95, 1, 51, 9, 81, 33, 50, 76, 28, 0], 3.985453508246073) // Route of vehicle 3: ([0, 2, 87, 92, 98, 93, 85, 14, 43, 15, 41, 22, 74, 72, 73, 40, 58, 53, 0], 3.9973511607037966);2023-08-02_18-01-46;0,571;59,0;11,8;1193,0;0,348;93,8;64,1;87,8
large_R100_K3T4;large;1,0;mtz_opt;100,0;3,0;4,0;12,0;R;34,0;3600,468;9,0;60,0;0,304347826;1,0;1,0;2,285714286;11,680765;2,285714286;10403,0;10314,0;233212,0;0,0;10,0;Route of vehicle 1: ([0, 52, 7, 18, 83, 59, 100, 98, 16, 44, 85, 91, 97, 0], 3.9231269347642796) // Route of vehicle 2: ([0, 53, 40, 73, 74, 72, 54, 4, 58, 94, 6, 93, 99, 96, 0], 3.868839284842961) // Route of vehicle 3: ([0, 77, 50, 76, 81, 34, 9, 71, 1, 69, 0], 3.888798776628435);2023-08-02_19-02-35;0,571;59,0;11,8;1193,0;0,348;93,8;64,1;87,8
large_R100_K3T4;large;1,0;scf;100,0;3,0;4,0;12,0;R;59,0;3600,105;9,0;60,0;0,565217406;0,623081912;0,623081912;0,102375661;11,95349904;0,102375661;20503,0;10815,0;45257,0;0,0;8,0;Route of vehicle 1: ([0, 26, 54, 4, 55, 25, 39, 23, 56, 75, 41, 22, 74, 72, 73, 21, 40, 58, 53, 0], 3.9916631280176627) // Route of vehicle 2: ([0, 52, 7, 88, 31, 70, 30, 20, 51, 9, 81, 33, 79, 3, 77, 76, 50, 1, 69, 27, 0], 3.990369118639325) // Route of vehicle 3: ([0, 89, 18, 83, 8, 60, 5, 61, 16, 91, 100, 85, 93, 98, 95, 97, 92, 59, 99, 96, 6, 94, 13, 0], 3.9714667960484187);2023-08-02_23-32-15;0,571;59,0;11,8;1193,0;0,348;93,8;64,1;87,8
large_R100_K3T6;large;2,0;mtz;100,0;3,0;6,0;12,0;R;80,0;3600,242;9,0;60,0;0,783783784;0,920728911;0,920728911;0,174723092;17,91069907;0,174723092;31007,0;30723,0;20195,0;0,0;10,0;Route of vehicle 1: ([0, 13, 95, 94, 52, 31, 10, 62, 11, 63, 90, 32, 66, 20, 51, 9, 81, 33, 79, 3, 77, 12, 26, 40, 58, 53, 0], 5.998942662502398) // Route of vehicle 2: ([0, 21, 73, 72, 74, 41, 15, 43, 14, 44, 16, 61, 84, 5, 60, 83, 45, 8, 82, 48, 7, 88, 70, 28, 0], 5.940875159855896) // Route of vehicle 3: ([0, 27, 69, 1, 50, 76, 68, 80, 24, 54, 4, 55, 25, 39, 56, 75, 22, 2, 57, 87, 97, 92, 98, 37, 100, 91, 85, 93, 99, 59, 96, 6, 89, 0], 5.970881252018874);2023-08-03_01-02-40;0,821;83,0;17,5;2154,0;0,64;42,6;28,3;45,3
large_R100_K3T6;large;2,0;mtz_opt;100,0;3,0;6,0;12,0;R;49,0;3600,231;9,0;60,0;0,470588235;1,0;1,0;1,125;17,74363169;1,125;10403,0;10414,0;78347,0;0,0;10,0;Route of vehicle 1: ([0, 52, 7, 48, 82, 36, 17, 86, 91, 96, 93, 85, 84, 61, 16, 100, 94, 0], 5.9375548052118905) // Route of vehicle 2: ([0, 53, 40, 73, 72, 74, 75, 23, 39, 80, 68, 78, 33, 9, 1, 51, 3, 76, 50, 28, 0], 5.962621322394619) // Route of vehicle 3: ([0, 69, 31, 70, 10, 88, 27, 6, 18, 99, 2, 42, 92, 58, 89, 0], 5.843455565596982);2023-08-03_02-26-16;0,821;83,0;17,5;2154,0;0,64;42,6;28,3;45,3
large_R100_K3T6;large;2,0;scf;100,0;3,0;6,0;12,0;R;84,0;3600,156;9,0;60,0;0,823529412;0,878810105;0,878810105;0,067126557;17,93701303;0,067126557;20503,0;10815,0;17639,0;0,0;10,0;Route of vehicle 1: ([0, 13, 94, 95, 97, 87, 2, 57, 15, 43, 42, 14, 44, 16, 61, 84, 17, 45, 8, 83, 60, 5, 93, 85, 91, 100, 37, 98, 92, 59, 99, 96, 6, 89, 0], 5.995579212810062) // Route of vehicle 2: ([0, 52, 18, 82, 7, 88, 31, 10, 62, 63, 90, 32, 30, 20, 71, 9, 34, 78, 79, 3, 68, 80, 12, 26, 28, 0], 5.957010784707701) // Route of vehicle 3: ([0, 53, 58, 40, 73, 72, 74, 22, 41, 75, 56, 39, 4, 25, 55, 54, 24, 29, 77, 76, 50, 33, 81, 51, 70, 1, 69, 27, 0], 5.9844230364689945);2023-08-03_03-26-17;0,821;83,0;17,5;2154,0;0,64;42,6;28,3;45,3
large_R100_K3T8;large;3,0;mtz;100,0;3,0;8,0;12,0;R;96,0;3600,248;9,0;60,0;0,941176471;1,0;1,0;0,0625;23,62131303;0,0625;31007,0;30723,0;8678,0;0,0;10,0;Route of vehicle 1: ([0, 53, 58, 40, 26, 4, 54, 12, 79, 51, 70, 10, 90, 63, 11, 19, 47, 49, 36, 48, 7, 82, 8, 45, 17, 84, 5, 60, 6, 0], 7.979254875291621) // Route of vehicle 2: ([0, 94, 95, 96, 99, 93, 100, 91, 61, 83, 18, 89, 52, 31, 88, 62, 32, 30, 20, 66, 71, 35, 9, 34, 78, 81, 33, 3, 77, 76, 50, 1, 69, 27, 0], 7.729390822989628) // Route of vehicle 3: ([0, 28, 80, 68, 29, 24, 55, 25, 39, 67, 23, 56, 75, 41, 22, 74, 72, 21, 73, 2, 57, 15, 43, 42, 14, 44, 86, 16, 85, 98, 59, 92, 37, 97, 87, 13, 0], 7.912667336358005);2023-08-03_04-26-19;0,957;97,0;23,2;4186,0;0,684;46,2;39,9;32,9
large_R100_K3T8;large;3,0;mtz_opt;100,0;3,0;8,0;12,0;R;53,0;3600,231;9,0;60,0;0,470588235;1,0;1,0;1,125;23,84715181;1,125;10403,0;10414,0;167605,0;0,0;10,0;Route of vehicle 1: ([0, 12, 53, 40, 73, 26, 16, 37, 44, 86, 61, 93, 97, 91, 92, 59, 6, 18, 94, 2, 87, 0], 7.92853990235461) // Route of vehicle 2: ([0, 45, 14, 42, 38, 100, 83, 5, 60, 31, 1, 79, 20, 0], 7.969485804011589) // Route of vehicle 3: ([0, 52, 7, 88, 63, 90, 32, 9, 34, 81, 78, 33, 3, 29, 80, 56, 22, 4, 21, 72, 74, 41, 0], 7.949126103551103);2023-08-03_05-26-21;0,957;97,0;23,2;4186,0;0,684;46,2;39,9;32,9
large_R100_K3T8;large;3,0;scf;100,0;3,0;8,0;12,0;R;98,0;3600,461;9,0;60,0;0,96;1,0;1,0;0,041666667;23,4164291;0,041666667;20503,0;10815,0;29686,0;0,0;10,0;Route of vehicle 1: ([0, 1, 70, 30, 20, 66, 65, 71, 35, 34, 78, 79, 51, 9, 81, 33, 3, 77, 76, 50, 69, 52, 18, 83, 60, 5, 84, 61, 91, 85, 93, 96, 59, 99, 6, 0], 7.9384034360704145) // Route of vehicle 2: ([0, 28, 40, 58, 13, 95, 87, 42, 43, 15, 57, 2, 21, 73, 72, 74, 41, 22, 75, 56, 23, 67, 39, 4, 25, 55, 54, 24, 29, 68, 80, 12, 26, 53, 0], 7.6971167280880595) // Route of vehicle 3: ([0, 89, 94, 97, 92, 98, 37, 100, 14, 44, 16, 86, 17, 45, 8, 46, 36, 49, 64, 63, 90, 32, 10, 62, 11, 19, 48, 82, 7, 88, 31, 27, 0], 7.780908933290159);2023-08-03_06-26-23;0,957;97,0;23,2;4186,0;0,684;46,2;39,9;32,9
large_R100_K6T4;large;4,0;mtz;100,0;6,0;4,0;12,0;R;73,0;3600,342;9,0;60,0;0,705882353;1,0;1,0;0,416666667;23,63217876;0,416666667;61913,0;61332,0;2529,0;0,0;10,0;Route of vehicle 1: ([0, 98, 91, 100, 85, 5, 83, 8, 82, 7, 62, 10, 88, 31, 52, 0], 3.9440336960040976) // Route of vehicle 2: ([0, 26, 76, 34, 9, 71, 66, 20, 51, 28, 0], 3.9702933653310115) // Route of vehicle 3: ([0, 1, 30, 70, 69, 68, 80, 54, 4, 55, 0], 3.9727111243789333) // Route of vehicle 4: ([0, 53, 74, 22, 41, 42, 14, 44, 16, 61, 93, 99, 60, 18, 89, 0], 3.9001796487535856) // Route of vehicle 5: ([0, 72, 75, 56, 39, 2, 15, 57, 73, 21, 0], 3.964857232724305) // Route of vehicle 6: ([0, 94, 95, 97, 37, 92, 59, 96, 6, 13, 58, 12, 77, 3, 79, 81, 33, 50, 27, 0], 3.8801036925770385);2023-08-03_07-26-28;0,912;92,0;23,6;2370,0;0,414;141,7;120,3;19,2
large_R100_K6T4;large;4,0;mtz_opt;100,0;6,0;4,0;12,0;R;48,0;3600,133;9,0;60,0;0,434782609;1,0;1,0;1,3;23,29369983;1,3;10403,0;10414,0;90575,0;0,0;10,0;Route of vehicle 1: ([0, 13, 40, 74, 21, 73, 41, 100, 37, 95, 97, 0], 3.6955030570956526) // Route of vehicle 2: ([0, 26, 4, 55, 54, 80, 24, 34, 0], 3.856302519700578) // Route of vehicle 3: ([0, 27, 60, 6, 17, 84, 45, 7, 69, 0], 3.849010538172152) // Route of vehicle 4: ([0, 28, 76, 33, 51, 31, 10, 9, 50, 0], 3.933693086595002) // Route of vehicle 5: ([0, 42, 14, 38, 16, 44, 98, 92, 83, 0], 3.989219310884263) // Route of vehicle 6: ([0, 53, 63, 62, 52, 18, 99, 5, 0], 3.9699713208977125);2023-08-03_08-26-29;0,912;92,0;23,6;2370,0;0,414;141,7;120,3;19,2
large_R100_K6T4;large;4,0;scf;100,0;6,0;4,0;12,0;R;91,0;3600,227;9,0;60,0;0,882352941;0,981702426;0,981702426;0,112596083;23,02402814;0,112596083;20503,0;10815,0;18769,0;0,0;10,0;Route of vehicle 1: ([0, 6, 96, 99, 59, 93, 85, 91, 61, 16, 44, 14, 38, 86, 17, 84, 5, 60, 0], 3.99648752363666) // Route of vehicle 2: ([0, 26, 12, 54, 4, 55, 25, 39, 56, 23, 75, 22, 74, 72, 73, 21, 40, 53, 0], 3.8687682665320993) // Route of vehicle 3: ([0, 27, 69, 1, 70, 30, 20, 66, 32, 90, 63, 10, 62, 88, 31, 0], 3.7978175940251706) // Route of vehicle 4: ([0, 28, 50, 51, 71, 35, 9, 81, 33, 78, 79, 3, 77, 68, 80, 76, 0], 3.942976447364597) // Route of vehicle 5: ([0, 52, 7, 82, 48, 19, 47, 36, 46, 8, 45, 83, 18, 89, 0], 3.8455569471410698) // Route of vehicle 6: ([0, 58, 2, 57, 41, 15, 43, 42, 87, 97, 37, 98, 92, 95, 94, 13, 0], 3.5724213632981963);2023-08-03_09-26-30;0,912;92,0;23,6;2370,0;0,414;141,7;120,3;19,2
large_R100_K6T6;large;5,0;mtz;100,0;6,0;6,0;12,0;R;96,0;3600,497;9,0;60,0;0,941176471;1,0;1,0;0,0625;35,491405;0,0625;61913,0;61332,0;2315,0;0,0;10,0;Route of vehicle 1: ([0, 40, 58, 2, 87, 96, 59, 57, 15, 41, 22, 73, 4, 54, 29, 81, 1, 0], 5.764357690740176) // Route of vehicle 2: ([0, 30, 70, 51, 20, 32, 90, 63, 64, 11, 19, 46, 8, 48, 82, 88, 27, 0], 5.967052857369782) // Route of vehicle 3: ([0, 69, 10, 62, 31, 50, 35, 71, 9, 33, 78, 34, 79, 77, 3, 68, 12, 76, 0], 5.846680800525274) // Route of vehicle 4: ([0, 80, 24, 25, 55, 21, 49, 36, 47, 7, 0], 5.993332552638925) // Route of vehicle 5: ([0, 18, 60, 83, 45, 61, 17, 86, 38, 44, 91, 42, 43, 14, 97, 37, 95, 89, 0], 5.969207250273235) // Route of vehicle 6: ([0, 53, 13, 6, 99, 5, 93, 98, 16, 85, 100, 92, 94, 74, 75, 56, 39, 67, 23, 72, 26, 28, 0], 5.950773848745094);2023-08-03_10-26-33;1,0;100,0;26,4;4090,0;0,759;31,8;31,8;8,7
large_R100_K6T6;large;5,0;mtz_opt;100,0;6,0;6,0;12,0;R;72,0;3600,259;9,0;60,0;0,68;1,0;1,0;0,470588235;35,35235724;0,470588235;10403,0;10414,0;105453,0;0,0;10,0;Route of vehicle 1: ([0, 3, 9, 90, 10, 31, 88, 20, 79, 50, 81, 0], 5.819687871013746) // Route of vehicle 2: ([0, 27, 6, 61, 16, 37, 5, 38, 85, 91, 57, 73, 22, 75, 0], 5.993760956129877) // Route of vehicle 3: ([0, 53, 28, 74, 2, 41, 12, 24, 80, 26, 68, 29, 77, 0], 5.999597832370419) // Route of vehicle 4: ([0, 58, 40, 52, 89, 69, 7, 63, 64, 36, 0], 5.815264280071135) // Route of vehicle 5: ([0, 72, 25, 55, 39, 54, 78, 34, 1, 70, 30, 33, 0], 5.97835256291777) // Route of vehicle 6: ([0, 94, 96, 59, 87, 60, 83, 45, 17, 43, 42, 92, 100, 97, 95, 93, 99, 98, 0], 5.7456937327527005);2023-08-03_11-50-59;1,0;100,0;26,4;4090,0;0,759;31,8;31,8;8,7
large_R100_K6T6;large;5,0;scf;100,0;6,0;6,0;12,0;R;100,0;531,569;2,0;60,0;1,0;1,0;1,0;0,0;34,26461512;0,0;20503,0;10815,0;5669,0;0,0;9,0;Route of vehicle 1: ([0, 1, 70, 30, 66, 9, 71, 65, 35, 78, 34, 51, 79, 81, 33, 27, 0], 5.734358496731914) // Route of vehicle 2: ([0, 13, 37, 100, 61, 85, 44, 14, 38, 86, 16, 91, 43, 57, 15, 42, 87, 2, 58, 40, 53, 0], 5.82122667947807) // Route of vehicle 3: ([0, 28, 20, 10, 90, 32, 63, 64, 19, 11, 31, 88, 62, 69, 0], 5.533518155400434) // Route of vehicle 4: ([0, 52, 46, 47, 36, 49, 48, 7, 82, 8, 17, 45, 83, 5, 84, 60, 18, 89, 0], 5.71387834993924) // Route of vehicle 5: ([0, 75, 23, 39, 67, 55, 25, 4, 56, 72, 21, 22, 41, 97, 95, 94, 96, 0], 5.614601697310393) // Route of vehicle 6: ([0, 93, 98, 92, 59, 99, 6, 74, 73, 12, 26, 54, 24, 29, 68, 80, 76, 77, 3, 50, 0], 5.8470317432422645);2023-08-03_11-59-52;1,0;100,0;26,4;4090,0;0,759;31,8;31,8;8,7
